,city_name,date,temperature
177,Oakland,2022-04-21 09:00,53.4
178,Oakland,2022-04-21 10:00,53.8
179,Oakland,2022-04-21 11:00,54.3
180,Oakland,2022-04-21 12:00,54.7
181,Oakland,2022-04-21 13:00,54.9
182,Oakland,2022-04-21 14:00,55.2
183,Oakland,2022-04-21 15:00,55.4
184,Oakland,2022-04-21 16:00,54.7
185,Oakland,2022-04-21 17:00,54.1
186,Oakland,2022-04-21 18:00,53.4
187,Oakland,2022-04-21 19:00,51.8
188,Oakland,2022-04-21 20:00,50.2
189,Oakland,2022-04-21 21:00,48.6
190,Oakland,2022-04-21 22:00,48.0
191,Oakland,2022-04-21 23:00,47.4
192,Oakland,2022-04-22 00:00,46.8
193,Oakland,2022-04-22 01:00,46.9
194,Oakland,2022-04-22 02:00,47.1
195,Oakland,2022-04-22 03:00,47.3
196,Oakland,2022-04-22 04:00,47.7
197,Oakland,2022-04-22 05:00,48.1
198,Oakland,2022-04-22 06:00,48.6
199,Oakland,2022-04-22 07:00,49.2
200,Oakland,2022-04-22 08:00,49.8
201,Oakland,2022-04-22 09:00,50.4
202,Oakland,2022-04-22 10:00,51.6
203,Oakland,2022-04-22 11:00,52.8
204,Oakland,2022-04-22 12:00,54.0
205,Oakland,2022-04-22 13:00,54.3
206,Oakland,2022-04-22 14:00,54.7
207,Oakland,2022-04-22 15:00,55.0
208,Oakland,2022-04-22 16:00,54.7
209,Oakland,2022-04-22 17:00,54.3
210,Oakland,2022-04-22 18:00,54.0
211,Oakland,2022-04-22 19:00,51.8
212,Oakland,2022-04-22 20:00,49.6
213,Oakland,2022-04-22 21:00,47.5
214,Oakland,2022-04-22 22:00,47.5
215,Oakland,2022-04-22 23:00,47.6
216,Oakland,2022-04-23 00:00,47.7
217,Oakland,2022-04-23 01:00,47.8
218,Oakland,2022-04-23 02:00,47.9
219,Oakland,2022-04-23 03:00,48.0
220,Oakland,2022-04-23 04:00,47.7
221,Oakland,2022-04-23 05:00,47.4
222,Oakland,2022-04-23 06:00,47.1
223,Oakland,2022-04-23 07:00,49.5
224,Oakland,2022-04-23 08:00,51.8
225,Oakland,2022-04-23 09:00,54.1
226,Oakland,2022-04-23 10:00,56.6
227,Oakland,2022-04-23 11:00,59.1
228,Oakland,2022-04-23 12:00,61.5
229,Oakland,2022-04-23 13:00,63.0
230,Oakland,2022-04-23 14:00,64.5
231,Oakland,2022-04-23 15:00,66.0
232,Oakland,2022-04-23 16:00,65.4
233,Oakland,2022-04-23 17:00,64.8
234,Oakland,2022-04-23 18:00,64.2
235,Oakland,2022-04-23 19:00,59.8
236,Oakland,2022-04-23 20:00,55.5
237,Oakland,2022-04-23 21:00,51.1
238,Oakland,2022-04-23 22:00,50.7
239,Oakland,2022-04-23 23:00,50.4
240,Oakland,2022-04-24 00:00,50.0
241,Oakland,2022-04-24 01:00,49.5
242,Oakland,2022-04-24 02:00,48.9
243,Oakland,2022-04-24 03:00,48.4
244,Oakland,2022-04-24 04:00,48.4
245,Oakland,2022-04-24 05:00,48.4
246,Oakland,2022-04-24 06:00,48.4
247,Oakland,2022-04-24 07:00,51.6
248,Oakland,2022-04-24 08:00,54.9
249,Oakland,2022-04-24 09:00,58.1
250,Oakland,2022-04-24 10:00,61.3
251,Oakland,2022-04-24 11:00,64.5
252,Oakland,2022-04-24 12:00,67.6
253,Oakland,2022-04-24 13:00,68.0
254,Oakland,2022-04-24 14:00,68.4
